w1,w2,mean_pdr,mean_energy,mean_collision_rate,mean_channel_util,mean_hop_count,reach_rate,mean_battery_remaining,mean_rssi,mean_neighbors,n_valid
0.732,0.268,0.7115072028953036,141.2711252653928,0.3246340438783957,0.36059433064024105,18.59447983014862,0.6072186836518046,64.6674216476551,-118.29169857602176,11.355230484471214,471
0.741,0.259,0.6923188542875484,137.34684873949584,0.33613249667324574,0.36794847099755107,17.73109243697479,0.6533613445378151,63.68973981019845,-117.44242716477507,11.903425446686212,476
0.75,0.25,0.7078268367851392,132.44926624737948,0.3262595400146956,0.3651616781914725,17.19077568134172,0.6184486373165619,63.50274129219212,-118.46675560793761,11.157017082452787,477
0.759,0.241,0.6917814713896221,135.78768421052632,0.3355809867286277,0.3844820417438851,17.745263157894737,0.6463157894736842,63.67712141317706,-117.5559649494616,11.368387408579757,475
0.768,0.232,0.6994340812081677,135.85202991452994,0.32787622568653324,0.3653979127973059,17.799145299145298,0.6474358974358975,63.732124007706595,-118.7486468276336,11.130309967773588,468
0.777,0.223,0.6929238573102044,153.31816283924846,0.3254253328948399,0.3737750904336435,19.711899791231733,0.6242171189979123,62.02703605818361,-117.51108003326455,11.711484977954457,479
0.786,0.214,0.7045560232594806,146.6127310061602,0.3259687392239882,0.36540285773507314,18.95277207392197,0.6201232032854209,62.60553244555387,-117.63681744078129,11.952845552886124,487
0.795,0.205,0.7020998449091718,136.33265957446812,0.3255379665812368,0.3737718060214435,17.814893617021276,0.6127659574468085,64.08571137157399,-117.01551145869202,11.662349905241156,470
0.805,0.195,0.670784963350406,158.7740506329114,0.349173775775387,0.3809535607007874,20.073839662447256,0.6455696202531646,62.63074657941309,-116.75722158908512,12.368982111327135,474
0.814,0.186,0.6695332164327692,139.53813559322037,0.3369603259706482,0.3849773360141038,17.54237288135593,0.7033898305084746,63.30275757159201,-116.58795296860694,12.400941855360415,472
0.823,0.177,0.670868066120882,139.14760416666667,0.33697787433286075,0.3858418774909628,18.072916666666668,0.64375,63.430758530702036,-117.49109593190978,12.076847740699126,480
0.832,0.168,0.713318708885819,137.6819126819127,0.3179685028690603,0.35514606116873587,17.632016632016633,0.6237006237006237,62.57337255236666,-117.40302112355336,11.608543334654465,481
0.841,0.159,0.6949386013915856,133.19926931106474,0.32507253457579516,0.3662827654190973,17.37160751565762,0.6367432150313153,63.023377908581914,-118.26299160052842,11.164740240638462,479
0.85,0.15,0.693007254350814,147.77872340425532,0.3371917135360422,0.3784329176567689,19.180851063829788,0.597872340425532,61.477522047271286,-117.33957642522707,11.770668805767789,470
0.859,0.141,0.6997173186809743,138.52906976744188,0.318900429913098,0.36767042117987847,18.031712473572938,0.6257928118393234,63.58497119777232,-117.51527299740242,11.580253064861562,473
0.868,0.132,0.6919374698122356,148.46914893617026,0.33503669126938235,0.364900981926387,19.338297872340426,0.6191489361702127,62.57619807688286,-117.78273833856728,11.475685368613831,470
0.877,0.123,0.696624008296264,137.89434782608697,0.3360605416771592,0.3744869793959858,17.821739130434782,0.6608695652173913,64.51175151196526,-116.7757368710551,11.257652109517977,460
0.886,0.114,0.6948535388136879,137.23538135593222,0.32735618186519494,0.36494033596263964,17.673728813559322,0.597457627118644,63.40613745729414,-117.12730904904782,11.65905094121656,472
0.895,0.105,0.6924524215263814,142.04348739495802,0.3372309240575109,0.3753500403080924,18.16386554621849,0.634453781512605,62.9855878184736,-117.2427417908479,11.66037169376869,476
0.905,0.095,0.6900388300483503,145.90585774058582,0.33902848664072094,0.3803293699192409,18.661087866108787,0.6506276150627615,63.8924544820359,-116.80244022833726,11.760352485274494,478
0.914,0.086,0.6949587433090211,133.91683991683993,0.32864167385812554,0.3755672960667665,17.677754677754677,0.6029106029106029,64.60724561144987,-117.95276293828796,11.053516498829875,481
0.923,0.077,0.689656692150118,137.53487394957983,0.3332317450529003,0.37040169162719966,17.756302521008404,0.6512605042016807,62.74872203403411,-118.10877810525348,11.483748616824064,476
0.932,0.068,0.701642080356011,133.8810669456067,0.32369733799148553,0.36644179927855275,17.40376569037657,0.6799163179916318,63.69644790790422,-117.12845387470733,11.453954705013823,478
0.941,0.059,0.6888599089453313,141.81875000000002,0.33650778842310564,0.3827439231880364,18.44279661016949,0.6504237288135594,64.04380322375157,-116.64397619631279,11.593013895405644,472
0.95,0.05,0.6959788521224833,144.6876288659794,0.32235105546277254,0.36883150495711103,18.75876288659794,0.668041237113402,62.98080012084025,-117.38844683315286,11.798270843897503,485
0.1788,0.8212,0.6918792604261816,139.09906832298137,0.3288315141486677,0.3777367180451361,18.19254658385093,0.6438923395445134,63.67541014659404,-121.49326966706101,11.329215227232666,483
0.1818,0.8182,0.6994979610137952,147.2431392931393,0.33103982405811966,0.3615240369543704,18.85031185031185,0.6611226611226612,63.49273159479733,-121.58556375686489,11.533957986498507,481
0.2065,0.7935,0.6761421998740289,146.2782291666667,0.34980486180296005,0.3823184548805301,18.760416666666668,0.6458333333333334,63.98777955851207,-121.00192123766784,11.716539121765189,480
0.3079,0.6921,0.7072613364659976,130.25471698113208,0.3270754182859043,0.3690090306187633,17.350104821802937,0.6876310272536688,63.58110364873795,-119.7126229283984,10.825904816907462,477
0.2887,0.7113,0.7196516726323251,138.95921610169495,0.32582463869138195,0.3596723869037881,17.718220338983052,0.6228813559322034,65.04515703853703,-120.50442431866645,11.31411268498854,472
0.3513,0.6487,0.6856775620960821,143.81427061310785,0.33989563784138094,0.3809841291858153,18.43551797040169,0.6871035940803383,64.20027923784137,-118.91018938367456,12.060550475480703,473
0.237,0.763,0.7034095365623315,137.56234309623434,0.3302774919671716,0.37806321961535816,17.951882845188283,0.6380753138075314,63.55295665665956,-120.61511648022912,11.774498618241761,478
0.6403,0.3597,0.7108765981108655,126.11137787056369,0.3204358202748159,0.3653989097608316,16.580375782881003,0.6388308977035491,62.844050869805784,-118.3789475623837,10.984175824607409,479
0.6352,0.3648,0.72679133482779,133.5619402985075,0.32442794236520095,0.351743045651478,17.541577825159916,0.6247334754797441,62.78442666329135,-119.3297797990881,10.671072721547636,469
0.6364,0.3636,0.6852189442516523,144.77156250000002,0.34192095778534637,0.3708095213355398,18.529166666666665,0.6458333333333334,65.77087360258514,-117.44232345573859,12.294738334388686,480
0.6756,0.3244,0.7189510413859121,137.76182008368207,0.3170093538976265,0.3616992736055949,18.179916317991633,0.6297071129707112,65.54040322993713,-119.00848566154038,10.57525842846343,478
0.6885,0.3115,0.6970710109946364,136.14098532494762,0.33156548750034004,0.36292928747630554,17.58909853249476,0.6247379454926625,65.62014062436683,-118.34374615637711,11.235011753198194,477
0.6134,0.3866,0.6936971956731124,153.05953389830512,0.3365745509130726,0.37643821310586906,19.680084745762713,0.6271186440677966,62.52862815170783,-118.05743641567759,11.950688006105544,472
0.6146,0.3854,0.6702810978202249,148.59519832985387,0.33482962035794406,0.38273777292486716,19.014613778705638,0.6764091858037579,62.44859709980332,-117.76893726776353,11.968456817366967,479
0.4623,0.5377,0.7028998973021252,138.66309012875539,0.32240142949730616,0.3684076061464885,17.935622317596568,0.6652360515021459,63.53533076129614,-119.81467604753489,11.227588549345432,466
0.3109,0.6891,0.683691922495196,146.6916666666667,0.3471393466047145,0.368117391655622,18.852564102564102,0.6773504273504274,61.907122444890526,-120.24556991678998,11.99697617637374,468
0.4257,0.5743,0.7264402917907458,147.26589473684214,0.33157336625911144,0.35084155934465155,19.090526315789475,0.6252631578947369,64.3246022836509,-120.61081067254003,10.934703132965515,475
0.4414,0.5586,0.6857340669056843,141.85062370062374,0.32844906381726746,0.37962976191809694,18.428274428274428,0.6902286902286903,65.3611832565332,-119.33790476802113,11.859290745610478,481
0.3778,0.6222,0.6965993032590838,141.97625000000002,0.32739987217589833,0.3771504246286963,18.677083333333332,0.6270833333333333,63.257507082130346,-120.48766012536757,11.300915323130813,480
0.467,0.533,0.6886314405700267,149.41438923395447,0.33764603965147033,0.37557622432706217,19.211180124223603,0.6480331262939959,62.94567440841516,-119.33087544699481,11.659814844283215,483
0.3557,0.6443,0.7076727174520898,146.80976645435248,0.32116816730910563,0.3697189554158293,19.171974522292995,0.6496815286624203,63.75877729836184,-120.32889608713933,11.141987979594761,471
0.2218,0.7782,0.6936700198050704,150.28516949152544,0.3385376457350674,0.3787761495548945,19.216101694915253,0.6440677966101694,63.707270828206525,-120.52935084222852,11.862798206095789,472
0.24,0.76,0.7263594546970383,130.66354166666667,0.3220720012245914,0.35649721989666217,17.102083333333333,0.6333333333333333,64.9766562456791,-121.11788897345183,11.043054343482794,480
0.3348,0.6652,0.7070156743429266,138.08483263598328,0.3288618448291527,0.36881997832236607,18.267782426778243,0.6317991631799164,64.33382175796051,-120.7263316719988,11.38662414170955,478
0.3396,0.6604,0.6924495919108575,152.35717299578062,0.3363423368221569,0.3779282127591699,19.668776371308017,0.6434599156118144,62.45506189635856,-120.17069559872495,11.936235354221873,474
0.2898,0.7102,0.6962526392531236,144.52037815126053,0.33768433677377174,0.3695203642060597,18.638655462184875,0.6722689075630253,63.954394793314734,-121.49710678461564,11.20293056976387,476
0.256,0.744,0.6980162475881125,152.61027253668763,0.3357669491139861,0.38660157467541334,19.941299790356393,0.6750524109014675,63.57251450315426,-121.22931666119743,11.61259058070338,477
0.3126,0.6874,0.7020868500217472,140.78547717842324,0.3265340239059514,0.3794761936580106,18.477178423236513,0.6348547717842323,63.54454273766181,-120.3669778661421,11.153584880661013,482
